SpeciesId;BreedId;PetType;Name;Icon;BaseHealth;BasePower;BaseSpeed;Level25Health;Level25Power;Level25Speed
51 ;15 ;Flying;Senegal;inv_feather_11;8.5;8;9.5;1481 ;260 ;309 
52 ;13 ;Flying;Ancona Chicken;spell_magic_polymorphchicken;8.5;8.5;8.5;1481 ;276 ;276 
52 ;20 ;Flying;Ancona Chicken;spell_magic_polymorphchicken;8.4;8.9;8.4;1465 ;289 ;273 
52 ;21 ;Flying;Ancona Chicken;spell_magic_polymorphchicken;8.4;8.4;8.9;1465 ;273 ;289 
52 ;22 ;Flying;Ancona Chicken;spell_magic_polymorphchicken;8.9;8.4;8.4;1546 ;273 ;273 
55 ;3 ;Critter;Undercity Cockroach;inv_pet_cockroach;9;7.5;9;1563 ;244 ;293 
55 ;5 ;Critter;Undercity Cockroach;inv_pet_cockroach;8.5;7;10.5;1481 ;228 ;341 
55 ;6 ;Critter;Undercity Cockroach;inv_pet_cockroach;10.5;7;8.5;1806 ;228 ;276 
55 ;9 ;Critter;Undercity Cockroach;inv_pet_cockroach;9.4;7;9.4;1628 ;228 ;305 
55 ;13 ;Critter;Undercity Cockroach;inv_pet_cockroach;9;7.5;9;1563 ;244 ;293 
55 ;15 ;Critter;Undercity Cockroach;inv_pet_cockroach;8.5;7;10.5;1481 ;228 ;341 
55 ;16 ;Critter;Undercity Cockroach;inv_pet_cockroach;10.5;7;8.5;1806 ;228 ;276 
55 ;19 ;Critter;Undercity Cockroach;inv_pet_cockroach;9.4;7;9.4;1628 ;228 ;305 
56 ;18 ;Dragonkin;Dark Whelpling;inv_misc_head_dragon_black;8.5;9.9;7.4;1481 ;322 ;240 
57 ;4 ;Dragonkin;Azure Whelpling;inv_misc_head_dragon_blue;8.5;9.5;8;1481 ;309 ;260 
58 ;8 ;Dragonkin;Crimson Whelpling;inv_misc_head_dragon_red;7;9.9;8.9;1238 ;322 ;289 
58 ;18 ;Dragonkin;Crimson Whelpling;inv_misc_head_dragon_red;7;9.9;8.9;1238 ;322 ;289 
59 ;19 ;Dragonkin;Emerald Whelpling;inv_misc_head_dragon_green;9.4;8;8.4;1628 ;260 ;273 
64 ;9 ;Aquatic;Wood Frog;spell_shaman_hex;9.4;7.5;8.9;1628 ;244 ;289 
65 ;12 ;Aquatic;Tree Frog;spell_shaman_hex;9.4;7.9;8.4;1628 ;257 ;273 
65 ;22 ;Aquatic;Tree Frog;spell_shaman_hex;9.4;7.9;8.4;1628 ;257 ;273 
67 ;3 ;Flying;Hawk Owl;ability_eyeoftheowl;8.5;8.5;8.5;1481 ;276 ;276 
67 ;8 ;Flying;Hawk Owl;ability_eyeoftheowl;8;8.9;8.9;1400 ;289 ;289 
67 ;10 ;Flying;Hawk Owl;ability_eyeoftheowl;8.4;8.9;8.4;1465 ;289 ;273 
67 ;13 ;Flying;Hawk Owl;ability_eyeoftheowl;8.5;8.5;8.5;1481 ;276 ;276 
67 ;18 ;Flying;Hawk Owl;ability_eyeoftheowl;8;8.9;8.9;1400 ;289 ;289 
67 ;20 ;Flying;Hawk Owl;ability_eyeoftheowl;8.4;8.9;8.4;1465 ;289 ;273 
68 ;3 ;Flying;Great Horned Owl;ability_eyeoftheowl;8.5;8.5;8.5;1481 ;276 ;276 
68 ;6 ;Flying;Great Horned Owl;ability_eyeoftheowl;10;8;8;1725 ;260 ;260 
68 ;7 ;Flying;Great Horned Owl;ability_eyeoftheowl;8.9;8.9;8;1546 ;289 ;260 
68 ;13 ;Flying;Great Horned Owl;ability_eyeoftheowl;8.5;8.5;8.5;1481 ;276 ;276 
68 ;16 ;Flying;Great Horned Owl;ability_eyeoftheowl;10;8;8;1725 ;260 ;260 
68 ;17 ;Flying;Great Horned Owl;ability_eyeoftheowl;8.9;8.9;8;1546 ;289 ;260 
69 ;3 ;Flying;Snowy Owl;ability_eyeoftheowl;8;8;9.5;1400 ;260 ;309 
69 ;10 ;Flying;Snowy Owl;ability_eyeoftheowl;7.9;8.4;9.4;1384 ;273 ;306 
69 ;11 ;Flying;Snowy Owl;ability_eyeoftheowl;7.9;7.9;9.9;1384 ;257 ;322 
69 ;13 ;Flying;Snowy Owl;ability_eyeoftheowl;8;8;9.5;1400 ;260 ;309 
69 ;20 ;Flying;Snowy Owl;ability_eyeoftheowl;7.9;8.4;9.4;1384 ;273 ;306 
69 ;21 ;Flying;Snowy Owl;ability_eyeoftheowl;7.9;7.9;9.9;1384 ;257 ;322 
70 ;3 ;Critter;Brown Prairie Dog;inv_pet_prairiedog;8.5;8;9;1481 ;260 ;293 
70 ;5 ;Critter;Brown Prairie Dog;inv_pet_prairiedog;8;7.5;10.5;1400 ;244 ;341 
70 ;12 ;Critter;Brown Prairie Dog;inv_pet_prairiedog;8.9;7.9;8.9;1546 ;257 ;289 
70 ;13 ;Critter;Brown Prairie Dog;inv_pet_prairiedog;8.5;8;9;1481 ;260 ;293 
70 ;15 ;Critter;Brown Prairie Dog;inv_pet_prairiedog;8;7.5;10.5;1400 ;244 ;341 
70 ;22 ;Critter;Brown Prairie Dog;inv_pet_prairiedog;8.9;7.9;8.9;1546 ;257 ;289 
72 ;3 ;Critter;Snowshoe Rabbit;inv_crate_02;8.5;7.5;9.5;1481 ;244 ;309 
72 ;5 ;Critter;Snowshoe Rabbit;inv_crate_02;8;7;11;1400 ;228 ;358 
72 ;11 ;Critter;Snowshoe Rabbit;inv_crate_02;8.4;7.4;9.9;1465 ;241 ;322 
72 ;13 ;Critter;Snowshoe Rabbit;inv_crate_02;8.5;7.5;9.5;1481 ;244 ;309 
72 ;15 ;Critter;Snowshoe Rabbit;inv_crate_02;8;7;11;1400 ;228 ;358 
72 ;21 ;Critter;Snowshoe Rabbit;inv_crate_02;8.4;7.4;9.9;1465 ;241 ;322 
74 ;11 ;Beast;Albino Snake;spell_nature_guardianward;7.9;7.9;9.9;1384 ;257 ;322 
74 ;21 ;Beast;Albino Snake;spell_nature_guardianward;7.9;7.9;9.9;1384 ;257 ;322 
75 ;5 ;Beast;Black Kingsnake;spell_nature_guardianward;7.5;8.5;10;1319 ;276 ;325 
75 ;15 ;Beast;Black Kingsnake;spell_nature_guardianward;7.5;8.5;10;1319 ;276 ;325 
77 ;3 ;Beast;Brown Snake;spell_nature_guardianward;8.5;8.5;8.5;1481 ;276 ;276 
77 ;13 ;Beast;Brown Snake;spell_nature_guardianward;8.5;8.5;8.5;1481 ;276 ;276 
78 ;12 ;Beast;Crimson Snake;spell_nature_guardianward;8.4;8.9;8.4;1465 ;289 ;273 
78 ;22 ;Beast;Crimson Snake;spell_nature_guardianward;8.4;8.9;8.4;1465 ;289 ;273 
83 ;18 ;Mechanical;Mechanical Chicken;inv_pet_mechanicalchicken;8.5;8.4;8.9;1481 ;273 ;289 
84 ;13 ;Flying;Westfall Chicken;spell_magic_polymorphchicken;8.5;8.5;8.5;1481 ;276 ;276 
84 ;20 ;Flying;Westfall Chicken;spell_magic_polymorphchicken;8.4;8.9;8.4;1465 ;289 ;273 
84 ;21 ;Flying;Westfall Chicken;spell_magic_polymorphchicken;8.4;8.4;8.9;1465 ;273 ;289 
84 ;22 ;Flying;Westfall Chicken;spell_magic_polymorphchicken;8.9;8.4;8.4;1546 ;273 ;273 
85 ;9 ;Mechanical;Pet Bombling;inv_misc_bomb_04;9.4;7.5;8.9;1628 ;244 ;289 
86 ;7 ;Mechanical;Lil' Smoky;inv_pet_lilsmoky;9.4;8.4;8;1628 ;273 ;260 
87 ;5 ;Dragonkin;Sprite Darter Hatchling;inv_pet_sprite_darter_hatchling;8;8.5;9.5;1400 ;276 ;309 
89 ;6 ;Beast;Worg Pup;inv_box_petcarrier_01;10;8;8;1725 ;260 ;260 
90 ;17 ;Beast;Smolderweb Hatchling;inv_box_birdcage_01;7.9;9.4;8.5;1384 ;305 ;276 
92 ;3 ;Beast;Panda Cub;inv_belt_05;8.5;8.5;8.5;1481 ;276 ;276 
93 ;4 ;Magic;Mini Diablo;inv_diablostone;6.5;11;8.5;1156 ;358 ;276 
94 ;5 ;Magic;Zergling;spell_shadow_summonfelhunter;7;7;12;1238 ;228 ;390 
95 ;3 ;Mechanical;Lifelike Toad;spell_shaman_hex;8.5;8.5;8.5;1481 ;276 ;276 
106 ;10 ;Aquatic;Jubling;spell_shaman_hex;8.9;8.4;8.4;1546 ;273 ;273 
107 ;3 ;Humanoid;Murky;inv_pet_babymurlocs_blue;8.5;8.5;8.5;1481 ;276 ;276 
111 ;12 ;Humanoid;Lurky;inv_pet_babymurlocs_white;8.9;8.4;8.4;1546 ;273 ;273 
114 ;12 ;Magic;Disgusting Oozeling;ability_creature_poison_05;9.4;8.9;7.4;1628 ;289 ;241 
116 ;12 ;Mechanical;Tranquil Mechanical Yeti;ability_hunter_pet_gorilla;8.9;8.4;8.4;1546 ;273 ;273 
117 ;3 ;Elemental;Tiny Snowman;inv_pet_snowman;8.5;8.5;8.5;1481 ;276 ;276 
118 ;3 ;Critter;Winter Reindeer;inv_misc_bell_01;8.5;8.5;8.5;1481 ;276 ;276 
119 ;3 ;Humanoid;Father Winter's Helper;inv_holiday_christmas_present_03;8.5;8.5;8.5;1481 ;276 ;276 
120 ;13 ;Humanoid;Winter's Little Helper;inv_holiday_christmas_present_01;8.5;8.5;8.5;1481 ;276 ;276 
121 ;13 ;Humanoid;Gurky;inv_pet_babymurlocs_pink;8.5;8.5;8.5;1481 ;276 ;276 
122 ;5 ;Humanoid;Peddlefeet;inv_ammo_arrow_02;8;8;10;1400 ;260 ;325 
124 ;3 ;Beast;Poley;inv_belt_09;8.5;8.5;8.5;1481 ;276 ;276 
125 ;5 ;Aquatic;Speedy;inv_pet_speedy;8;8;10;1400 ;260 ;325 
126 ;10 ;Critter;Mr. Wiggles;inv_belt_25;8.4;8.9;8.4;1465 ;289 ;273 
127 ;7 ;Critter;Whiskers the Rat;inv_pet_ratcage;8.9;8.4;8.5;1546 ;273 ;276 
128 ;3 ;Elemental;Spirit of Summer;inv_potion_33;8.5;8.5;8.5;1481 ;276 ;276 
130 ;3 ;Flying;Hippogryph Hatchling;inv_egg_02;8.5;8.5;8.5;1481 ;276 ;276 
131 ;8 ;Dragonkin;Netherwhelp;inv_netherwhelp;8;8.4;9.4;1400 ;273 ;305 
132 ;6 ;Aquatic;Magical Crawdad;inv_misc_fish_14;11;8;7;1888 ;260 ;228 
136 ;3 ;Magic;Mana Wyrmling;spell_nature_abolishmagic;8.5;8.5;8.5;1481 ;276 ;276 
136 ;7 ;Magic;Mana Wyrmling;spell_nature_abolishmagic;8.9;8.9;8;1546 ;289 ;260 
136 ;10 ;Magic;Mana Wyrmling;spell_nature_abolishmagic;8.4;8.9;8.4;1465 ;289 ;273 
136 ;12 ;Magic;Mana Wyrmling;spell_nature_abolishmagic;8.9;8.4;8.4;1546 ;273 ;273 
136 ;13 ;Magic;Mana Wyrmling;spell_nature_abolishmagic;8.5;8.5;8.5;1481 ;276 ;276 
136 ;17 ;Magic;Mana Wyrmling;spell_nature_abolishmagic;8.9;8.9;8;1546 ;289 ;260 
136 ;20 ;Magic;Mana Wyrmling;spell_nature_abolishmagic;8.4;8.9;8.4;1465 ;289 ;273 
136 ;22 ;Magic;Mana Wyrmling;spell_nature_abolishmagic;8.9;8.4;8.4;1546 ;273 ;273 
137 ;3 ;Critter;Brown Rabbit;inv_crate_02;8.5;7.5;9.5;1481 ;244 ;309 
137 ;5 ;Critter;Brown Rabbit;inv_crate_02;8;7;11;1400 ;228 ;358 
137 ;11 ;Critter;Brown Rabbit;inv_crate_02;8.4;7.4;9.9;1465 ;241 ;322 
137 ;13 ;Critter;Brown Rabbit;inv_crate_02;8.5;7.5;9.5;1481 ;244 ;309 
137 ;15 ;Critter;Brown Rabbit;inv_crate_02;8;7;11;1400 ;228 ;358 
137 ;21 ;Critter;Brown Rabbit;inv_crate_02;8.4;7.4;9.9;1465 ;241 ;322 
138 ;3 ;Flying;Blue Moth;ability_hunter_pet_moth;9;8;8.5;1563 ;260 ;276 
138 ;12 ;Flying;Blue Moth;ability_hunter_pet_moth;9.4;7.9;8.4;1628 ;257 ;273 
138 ;13 ;Flying;Blue Moth;ability_hunter_pet_moth;9;8;8.5;1563 ;260 ;276 
138 ;22 ;Flying;Blue Moth;ability_hunter_pet_moth;9.4;7.9;8.4;1628 ;257 ;273 
139 ;3 ;Flying;Red Moth;ability_hunter_pet_moth;8;9;8.5;1400 ;293 ;276 
139 ;8 ;Flying;Red Moth;ability_hunter_pet_moth;7.5;9.4;8.9;1319 ;305 ;289 
139 ;12 ;Flying;Red Moth;ability_hunter_pet_moth;8.4;8.9;8.4;1465 ;289 ;273 
139 ;13 ;Flying;Red Moth;ability_hunter_pet_moth;8;9;8.5;1400 ;293 ;276 
139 ;18 ;Flying;Red Moth;ability_hunter_pet_moth;7.5;9.4;8.9;1319 ;305 ;289 
139 ;22 ;Flying;Red Moth;ability_hunter_pet_moth;8.4;8.9;8.4;1465 ;289 ;273 
140 ;3 ;Flying;Yellow Moth;ability_hunter_pet_moth;8.5;9;8;1481 ;293 ;260 
140 ;4 ;Flying;Yellow Moth;ability_hunter_pet_moth;8;10.5;7.5;1400 ;341 ;244 
140 ;12 ;Flying;Yellow Moth;ability_hunter_pet_moth;8.9;8.9;7.9;1546 ;289 ;257 
140 ;13 ;Flying;Yellow Moth;ability_hunter_pet_moth;8.5;9;8;1481 ;293 ;260 
140 ;14 ;Flying;Yellow Moth;ability_hunter_pet_moth;8;10.5;7.5;1400 ;341 ;244 
140 ;22 ;Flying;Yellow Moth;ability_hunter_pet_moth;8.9;8.9;7.9;1546 ;289 ;257 
141 ;3 ;Flying;White Moth;ability_hunter_pet_moth;8;8;9.5;1400 ;260 ;309 
141 ;6 ;Flying;White Moth;ability_hunter_pet_moth;9.5;7.5;9;1644 ;244 ;293 
141 ;12 ;Flying;White Moth;ability_hunter_pet_moth;8.4;7.9;9.4;1465 ;257 ;306 
141 ;13 ;Flying;White Moth;ability_hunter_pet_moth;8;8;9.5;1400 ;260 ;309 
141 ;16 ;Flying;White Moth;ability_hunter_pet_moth;9.5;7.5;9;1644 ;244 ;293 
141 ;22 ;Flying;White Moth;ability_hunter_pet_moth;8.4;7.9;9.4;1465 ;257 ;306 
142 ;3 ;Dragonkin;Golden Dragonhawk Hatchling;ability_hunter_pet_dragonhawk;8.5;9;8;1481 ;293 ;260 
142 ;5 ;Dragonkin;Golden Dragonhawk Hatchling;ability_hunter_pet_dragonhawk;8;8.5;9.5;1400 ;276 ;309 
142 ;13 ;Dragonkin;Golden Dragonhawk Hatchling;ability_hunter_pet_dragonhawk;8.5;9;8;1481 ;293 ;260 
142 ;15 ;Dragonkin;Golden Dragonhawk Hatchling;ability_hunter_pet_dragonhawk;8;8.5;9.5;1400 ;276 ;309 
143 ;3 ;Dragonkin;Red Dragonhawk Hatchling;ability_hunter_pet_dragonhawk;8;9;8.5;1400 ;293 ;276 
143 ;5 ;Dragonkin;Red Dragonhawk Hatchling;ability_hunter_pet_dragonhawk;7.5;8.5;10;1319 ;276 ;325 
143 ;8 ;Dragonkin;Red Dragonhawk Hatchling;ability_hunter_pet_dragonhawk;7.5;9.4;8.9;1319 ;305 ;289 
143 ;13 ;Dragonkin;Red Dragonhawk Hatchling;ability_hunter_pet_dragonhawk;8;9;8.5;1400 ;293 ;276 
143 ;15 ;Dragonkin;Red Dragonhawk Hatchling;ability_hunter_pet_dragonhawk;7.5;8.5;10;1319 ;276 ;325 
143 ;18 ;Dragonkin;Red Dragonhawk Hatchling;ability_hunter_pet_dragonhawk;7.5;9.4;8.9;1319 ;305 ;289 
144 ;3 ;Dragonkin;Silver Dragonhawk Hatchling;ability_hunter_pet_dragonhawk;8;8;9.5;1400 ;260 ;309 
144 ;5 ;Dragonkin;Silver Dragonhawk Hatchling;ability_hunter_pet_dragonhawk;7.5;7.5;11;1319 ;244 ;358 
144 ;11 ;Dragonkin;Silver Dragonhawk Hatchling;ability_hunter_pet_dragonhawk;7.9;7.9;9.9;1384 ;257 ;322 
144 ;13 ;Dragonkin;Silver Dragonhawk Hatchling;ability_hunter_pet_dragonhawk;8;8;9.5;1400 ;260 ;309 
144 ;15 ;Dragonkin;Silver Dragonhawk Hatchling;ability_hunter_pet_dragonhawk;7.5;7.5;11;1319 ;244 ;358 
144 ;21 ;Dragonkin;Silver Dragonhawk Hatchling;ability_hunter_pet_dragonhawk;7.9;7.9;9.9;1384 ;257 ;322 
145 ;3 ;Dragonkin;Blue Dragonhawk Hatchling;ability_hunter_pet_dragonhawk;9;8;8.5;1563 ;260 ;276 
145 ;5 ;Dragonkin;Blue Dragonhawk Hatchling;ability_hunter_pet_dragonhawk;8.5;7.5;10;1481 ;244 ;325 
145 ;6 ;Dragonkin;Blue Dragonhawk Hatchling;ability_hunter_pet_dragonhawk;10.5;7.5;8;1806 ;244 ;260 
145 ;8 ;Dragonkin;Blue Dragonhawk Hatchling;ability_hunter_pet_dragonhawk;8.5;8.4;8.9;1481 ;273 ;289 
145 ;13 ;Dragonkin;Blue Dragonhawk Hatchling;ability_hunter_pet_dragonhawk;9;8;8.5;1563 ;260 ;276 
145 ;15 ;Dragonkin;Blue Dragonhawk Hatchling;ability_hunter_pet_dragonhawk;8.5;7.5;10;1481 ;244 ;325 
145 ;16 ;Dragonkin;Blue Dragonhawk Hatchling;ability_hunter_pet_dragonhawk;10.5;7.5;8;1806 ;244 ;260 
145 ;18 ;Dragonkin;Blue Dragonhawk Hatchling;ability_hunter_pet_dragonhawk;8.5;8.4;8.9;1481 ;273 ;289 
146 ;3 ;Flying;Firefly;ability_hunter_pet_wasp;8;8.5;9;1400 ;276 ;293 
146 ;5 ;Flying;Firefly;ability_hunter_pet_wasp;7.5;8;10.5;1319 ;260 ;341 
146 ;9 ;Flying;Firefly;ability_hunter_pet_wasp;8.4;8;9.4;1465 ;260 ;305 
146 ;12 ;Flying;Firefly;ability_hunter_pet_wasp;8.4;8.4;8.9;1465 ;273 ;289 
149 ;9 ;Flying;Miniwing;inv_box_birdcage_01;8.4;7;10.4;1465 ;228 ;338 
153 ;7 ;Critter;Wolpertinger;inv_drink_13;8.9;8.9;8;1546 ;289 ;260 
155 ;7 ;Critter;Lucky;inv_misc_elvencoins;8.9;8.9;8;1546 ;289 ;260 
156 ;3 ;Beast;Bananas;inv_misc_food_24;8.5;8.5;8.5;1481 ;276 ;276 
157 ;3 ;Magic;Willy;inv_pet_sleepywilly;8.5;8.5;8.5;1481 ;276 ;276 
158 ;3 ;Critter;Egbert;inv_pet_egbert;8.5;8.5;8.5;1481 ;276 ;276 
159 ;16 ;Critter;Peanut;inv_pet_baby_elekk_gray;10;8;8;1725 ;260 ;260 
160 ;4 ;Critter;Stinker;inv_box_petcarrier_01;8;10;8;1400 ;325 ;260 
162 ;10 ;Elemental;Sinister Squashling;inv_misc_food_59;8.4;9.4;7.9;1465 ;305 ;257 
163 ;8 ;Aquatic;Toothy;inv_pet_babycrocodile_toothy;8;9.4;8.4;1400 ;305 ;273 
164 ;3 ;Aquatic;Muckbreath;inv_pet_babycrocodile_muchbreath;8.5;9;8;1481 ;293 ;260 
165 ;9 ;Aquatic;Mojo;spell_shaman_hex;9.4;7.5;8.9;1628 ;244 ;289 
166 ;7 ;Critter;Pint-Sized Pink Pachyderm;inv_pet_baby_elekk_red;9.4;9.4;7;1628 ;305 ;228 
167 ;3 ;Flying;Tiny Sporebat;ability_hunter_pet_sporebat;9.5;8;8;1644 ;260 ;260 
167 ;6 ;Flying;Tiny Sporebat;ability_hunter_pet_sporebat;11;7.5;7.5;1888 ;244 ;244 
167 ;9 ;Flying;Tiny Sporebat;ability_hunter_pet_sporebat;9.9;7.5;8.4;1709 ;244 ;273 
167 ;13 ;Flying;Tiny Sporebat;ability_hunter_pet_sporebat;9.5;8;8;1644 ;260 ;260 
167 ;16 ;Flying;Tiny Sporebat;ability_hunter_pet_sporebat;11;7.5;7.5;1888 ;244 ;244 
167 ;19 ;Flying;Tiny Sporebat;ability_hunter_pet_sporebat;9.9;7.5;8.4;1709 ;244 ;273 
168 ;15 ;Mechanical;Rocket Chicken;inv_misc_enggizmos_rocketchicken;8.5;7.5;10;1481 ;244 ;325 
169 ;3 ;Flying;Dragon Kite;inv_misc_dragonkite_02;8.5;8.5;8.5;1481 ;276 ;276 
169 ;5 ;Flying;Dragon Kite;inv_misc_dragonkite_02;8;8;10;1400 ;260 ;325 
170 ;7 ;Critter;Golden Pig;inv_misc_coin_01;8.9;8.9;8;1546 ;289 ;260 
171 ;7 ;Critter;Silver Pig;inv_misc_coin_03;8.9;8.9;8;1546 ;289 ;260 
172 ;10 ;Elemental;Searing Scorchling;inv_pet_scorchedstone;7.9;9.4;8.4;1384 ;305 ;273 
173 ;7 ;Aquatic;Snarly;inv_pet_babycrocodile_snarly;8.9;9.4;7.5;1546 ;305 ;244 
174 ;3 ;Aquatic;Chuck;inv_pet_babycrocodile_chuck;8.5;9;8;1481 ;293 ;260 
175 ;5 ;Elemental;Phoenix Hatchling;inv_misc_pheonixpet_01;7.5;8.5;10;1319 ;276 ;325 
179 ;7 ;Dragonkin;Spirit of Competition;inv_jewelry_amulet_03;9.4;8.9;7.5;1628 ;289 ;244 
180 ;7 ;Dragonkin;Essence of Competition;inv_jewelry_talisman_10;9.4;8.9;7.5;1628 ;289 ;244 
183 ;3 ;Magic;Ethereal Soul-Trader;spell_nature_groundingtotem;8.5;8.5;8.5;1481 ;276 ;276 
186 ;3 ;Flying;Nether Ray Fry;ability_hunter_pet_netherray;8;9;8.5;1400 ;293 ;276 
186 ;4 ;Flying;Nether Ray Fry;ability_hunter_pet_netherray;7.5;10.5;8;1319 ;341 ;260 
186 ;5 ;Flying;Nether Ray Fry;ability_hunter_pet_netherray;7.5;8.5;10;1319 ;276 ;325 
186 ;8 ;Flying;Nether Ray Fry;ability_hunter_pet_netherray;7.5;9.4;8.9;1319 ;305 ;289 
186 ;13 ;Flying;Nether Ray Fry;ability_hunter_pet_netherray;8;9;8.5;1400 ;293 ;276 
186 ;14 ;Flying;Nether Ray Fry;ability_hunter_pet_netherray;7.5;10.5;8;1319 ;341 ;260 
186 ;15 ;Flying;Nether Ray Fry;ability_hunter_pet_netherray;7.5;8.5;10;1319 ;276 ;325 
186 ;18 ;Flying;Nether Ray Fry;ability_hunter_pet_netherray;7.5;9.4;8.9;1319 ;305 ;289 
187 ;8 ;Undead;Vampiric Batling;ability_hunter_pet_bat;8.5;9.4;7.9;1481 ;305 ;257 
188 ;6 ;Undead;Frosty;inv_pet_frostwyrm;10.5;8.5;7;1806 ;276 ;228 
189 ;3 ;Humanoid;Mini Tyrael;inv_sword_07;8.5;8.5;8.5;1481 ;276 ;276 
190 ;6 ;Undead;Ghostly Skull;inv_misc_bone_humanskull_01;10.5;8.5;7;1806 ;276 ;228 
190 ;7 ;Undead;Ghostly Skull;inv_misc_bone_humanskull_01;9.4;9.4;7;1628 ;305 ;228 
190 ;12 ;Undead;Ghostly Skull;inv_misc_bone_humanskull_01;9.4;8.9;7.4;1628 ;289 ;241 
191 ;3 ;Mechanical;Clockwork Rocket Bot;inv_gizmo_06;9;8;8.5;1563 ;260 ;276 
192 ;9 ;Aquatic;Mr. Chilly;inv_misc_penguinpet;8.9;8;8.9;1546 ;260 ;289 
193 ;4 ;Critter;Giant Sewer Rat;inv_misc_monstertail_03;8;10.5;7.5;1400 ;341 ;244 
194 ;3 ;Flying;Tickbird Hatchling;ability_hunter_pet_owl;8.5;8.5;8.5;1481 ;276 ;276 
194 ;5 ;Flying;Tickbird Hatchling;ability_hunter_pet_owl;8;8;10;1400 ;260 ;325 
194 ;8 ;Flying;Tickbird Hatchling;ability_hunter_pet_owl;8;8.9;8.9;1400 ;289 ;289 
194 ;9 ;Flying;Tickbird Hatchling;ability_hunter_pet_owl;8.9;8;8.9;1546 ;260 ;289 
194 ;11 ;Flying;Tickbird Hatchling;ability_hunter_pet_owl;8.4;8.4;8.9;1465 ;273 ;289 
194 ;13 ;Flying;Tickbird Hatchling;ability_hunter_pet_owl;8.5;8.5;8.5;1481 ;276 ;276 
194 ;15 ;Flying;Tickbird Hatchling;ability_hunter_pet_owl;8;8;10;1400 ;260 ;325 
194 ;18 ;Flying;Tickbird Hatchling;ability_hunter_pet_owl;8;8.9;8.9;1400 ;289 ;289 
194 ;19 ;Flying;Tickbird Hatchling;ability_hunter_pet_owl;8.9;8;8.9;1546 ;260 ;289 
194 ;21 ;Flying;Tickbird Hatchling;ability_hunter_pet_owl;8.4;8.4;8.9;1465 ;273 ;289 
195 ;5 ;Flying;White Tickbird Hatchling;ability_hunter_pet_owl;7.5;7.5;11;1319 ;244 ;358 
195 ;8 ;Flying;White Tickbird Hatchling;ability_hunter_pet_owl;7.5;8.4;9.9;1319 ;273 ;322 
195 ;9 ;Flying;White Tickbird Hatchling;ability_hunter_pet_owl;8.4;7.5;9.9;1465 ;244 ;322 
195 ;11 ;Flying;White Tickbird Hatchling;ability_hunter_pet_owl;7.9;7.9;9.9;1384 ;257 ;322 
195 ;15 ;Flying;White Tickbird Hatchling;ability_hunter_pet_owl;7.5;7.5;11;1319 ;244 ;358 
